Defect type,MK,Expected Life
2.0,190.85296874999992,33.53679453296436
2.0,118.09281250000005,45.98216906292637
3.0,23.5625,65.89271188411988
3.0,22.509843749999998,65.80135855001576
2.0,294.93874999999997,6.639035501029937
2.0,295.1603124999999,7.922604163936413
1.0,78.20625000000004,47.31890231662397
1.0,96.00828124999998,42.76707935871836
3.0,28.5321875,67.62159476593949
3.0,37.07859374999999,64.92241970802186
3.0,316.8731250000003,5.7650572826720605
3.0,376.07624999999996,22.692397709834587
1.0,183.78109375000003,15.633919198245984
1.0,116.10718750000005,38.35773366860206
1.0,135.30218750000006,33.301754613830155
1.0,94.59171875000001,45.02568438486935
3.0,43.20484375000001,64.361879933333
3.0,35.709062499999995,66.23035214608143
3.0,48.08234375,64.86080553642753
3.0,19.9040625,68.02347516564512
3.0,272.4003125000001,37.47300200644062
3.0,294.84031249999987,11.278152856480709
1.0,111.04624999999999,38.22491620122809
1.0,111.1284375,40.2194109405268
3.0,166.3165625,50.503694714170486
3.0,204.91203125,44.90618824654952
3.0,141.96578125000016,42.5321451887702
3.0,137.58062499999994,47.2847479540097
2.0,127.88609375000003,44.36516535631189
2.0,128.06343750000002,44.30545403392851
2.0,118.71593750000007,44.85874130981528
2.0,118.41843750000007,46.386236541922244
2.0,241.8951562499999,19.172752371299943
2.0,332.62734375,5.81935990493885
3.0,118.94624999999999,53.00828369262027
3.0,144.95046875,41.76109830505028
3.0,29.314375,67.52562644553487
3.0,41.540625,65.37119565983092
3.0,43.01015625000002,64.2629637293179
3.0,33.837187500000006,65.24355410414941
3.0,149.98328124999992,41.923903014858666
3.0,112.65687499999999,46.005572401686706
3.0,65.3984375,56.081660947373756
3.0,65.3834375,56.27994143840716
3.0,124.00718750000004,49.68431351705314
3.0,165.85140624999997,50.2499787077097
2.0,72.29859375000004,57.02884715903693
2.0,88.78406250000006,51.9679543646222
2.0,156.75546874999995,38.615929144954485
2.0,84.93296874999996,54.28880966819268
2.0,62.32062499999997,57.284560281013206
2.0,127.6375,44.73235518278099
